,Location
683,Kileleshwa
684,Lavington
685,Rhapta Road
689,ROSSLYN
690,Muthaiga
691,Kifaru road
692,Mimosa
693,Riverside
694,Mombasa Road
695,Gigiri
696,Runda
697,Lavington
698,Runda Nairobi
699,Kileleshwa
700,lavington
701,Brookside Dr
703,Ojijo road
704,Riverside
705,Kileleshwa
706,Kiambere Road
707,Kilimani
708,Kileleshwa
709,Parklands Road
710,Spring Valley
711,Karen
712,Westlands Area
713,Ridgeways
714,lavington
715,Kiambu Road
716,Westlands Area
718,Westlands
720,Kilimani
721,Riverside
722,Lavington
723,kileleshwa
724,Muthangari drive
725,School lane
726,City park drive
727,Kileleshwa
728,Kilimani
729,Mombasa Road
730,Karen
731,Riverside
732,Hurlingham
733,Riverside
734,Lavington
735,Kilimani
736,Lower Kabete
737,kiambu road
738,Runda
739,Westlands Area
740,Industrial Area
741,kabarnet road
742,Kilimani
743,Parklands
744,Peponi
745,Runda
746,Kileleshwa
748,Upper Hill
749,kilimani
750,Park road
751,Kilimani
752,Westlands Area
753,Kiambere Road
754,Runda
755,Karen
756,Panafric
757,lavington
758,Langata
759,Runda
760,Kiambu road
761,Kitisuru
762,Lavington
763,Off Ruaka Rd
764,Mumwe
766,Westlands Area
767,Runda
768,Karen
769,Lavington
770,Nyari
771,kileleshwa
772,Westlands Area
774,Lavington
776,kileleshwa
777,General Mathenge
778,Gigiri
779,Mombasa Road
780,Kiambu Road
781,Nyari
782,Mombasa road
784,Raphta rd westland
785,Off Ngong Road
786,Loresho
787,Parklands Road
788,Othaya road
789,Kileleshwa
790,Karen
791,Westlands Area
793,Dagoretti road
794,Lavington
795,Riverside drive
796,Lavington
797,Kileleshwa
798,Lavington
799,Kiambu Road
800,Westlands Area
801,Off Lenana Road
802,MKUNGU CLOSE
803,Lavington
804,Lavington Nairobi
805,Kilimani
806,kileleshwa
807,Parklands
809,Runda
810,Maziwa
811,Nyari
812,Kiambere road
813,Off Waiyaki Way
814,Runda
815,Westlands Area
816,Nyari
817,Kileleshwa
818,Lavington
819,Runda
820,Kitisuru
821,Riverside
822,Waiyaki Way
823,kiambu road
824,Westlands Area
825,Riverside
826,Karen
827,Lavington
828,Ngong rd
829,Runda
830,Lavington
832,Nyari
833,Lavington
834,Westlands Area
835,Rosslyn Lonetree
836,Valley Arcade
837,Loresho
838,Westlands Area
839,Westlands Area
840,Lavington
841,Kileleshwa
842,Kikambala Rd
843,Kileleshwa
844,Kilimani
845,Riverside
846,Riverside
848,Muthaiga North
849,Brookside gardens
851,Westlands Area
