,Location
807,Westlands
809,Waiyaki
810,Lavington
811,Westlands
812,Kileleshwa
813,Loresho
814,Lower
815,Ridgeways
816,Kileleshwa
817,Ruaraka
818,Kilimani
819,Kilimani
820,Kilimani
821,Lavighton
822,Lunga
823,Kilimani
824,Rosslyn
825,Runda
826,Kitisuru
827,Karen
828,Kilimani
829,Livingston
830,Lakeview
832,Kiambu
833,Kikambala
834,Rosslyn
835,Runda
836,Lavington
837,Westlands
838,Convent
839,Kileleshwa
840,Riverside
841,Kiambu
842,General
843,Loresho
844,Kilimani
845,Westlands
846,Runda
848,Riverside
849,Westlands
851,Lavington
852,Westlands
853,Panafric
854,Brookside
855,Kiambu
856,Parkland
857,Westlands
858,Runda
859,Lavington
860,Westlands
861,Kilimani
862,Runda
863,Ruaka
864,Lavington
865,Kiambu
867,Runda
868,Spring
869,Gigiri
870,Rosslyn
871,Dik
872,Kileleshwa
873,Rapta
874,Spring
875,Waiyaki
876,Nyari
877,Marist
878,Karen
879,Kiambu
880,Kilimani
881,Brookside
882,Westlands
883,Spring
884,Rosslyn
885,Kileleshwa
886,Kiambu
887,Gigiri
888,Kileleshwa
890,Lavington
891,Bomas
892,Westlands
894,Bomas
895,Riverside
896,Westlands
897,Olkejuod
898,Riverside
899,Old
900,Riverside
901,Peponi
903,Karen
904,Lower
905,Kilimani
906,Thika
907,Kitisuru
908,Kilimani
909,Lavington
911,Kitisuru
912,Runda
913,Kilimani
914,Lower
915,Nyari
916,Kilimani
917,Kiambu
918,Mombasa
919,Westlands
920,Riverside
921,Kileleshwa
922,Karen
923,Brookside
924,Riverside
926,Lavington
927,Rhapta
928,Kileleshwa
929,Runda
930,Limuru
931,Runda
932,Westlands
933,Near
934,Runda
935,Mountain
936,Runda
937,Westlands
938,Kilimani
939,Kilimani
940,Waiyaki
941,Kileleshwa
942,Kileleshwa
943,Kilimani
944,Highridge
945,Runda
946,Karen
947,Runda
948,Kilimani
949,Old
950,Riverside
951,Lavington
952,Kiambu
953,Karen
954,Kileleshwa
956,Lavington
957,Upper
958,Kiambu
959,Mimosa
960,Shopping
961,Kileleshwa
962,Westlands
963,Westlands
964,Westlands
966,Kilimani
967,Parklands
968,Mugoiri
969,Lavington
970,Riverside
971,Off
972,Kileleshwa
974,Kilimani
975,Kilimani
976,Kiambu
977,Dennis
978,Dubai
979,Lavington
980,Riverside
981,Ngong
982,Kinanda
983,Limuru
984,Westlands
985,Kileleshwa
986,Bogani
987,Kileleshwa
988,Riverside
989,General
990,Lower
991,Kilimani
992,Ruaraka
993,General
994,Riara
996,Madaraka
997,Thigiri
998,Kilimani
999,Lavington
1000,Kileleshwa
1002,Kiambu
1003,Kes
1004,Karen
1005,Karen
1006,Lavington
1007,Kitisuru
1008,Riverside
1009,Lavington
1010,Fourways
1011,Mombasa
1012,Karen
1013,Lavington
1014,Mombasa
1015,Lavington
1016,Kitisuru
1017,Exit
1018,Karen
1020,Westlands
1021,Valley
1022,Rhapta
1024,Kilimani
1025,Kileleshwa
1026,Karen
1027,Yaya
1028,Muthaiga
1029,Kileleshwa
1030,Mimosa
1031,Kilimani
1032,Kilimani
1033,Bongani
1034,Upper
1035,Runda
1036,Gigiri
1037,Lantana
1038,Karen
1039,Brookside
1040,Lavington
1041,Kiambu
1042,Muthaiga
1043,Peponi
1044,Westlands
1045,Karen
1047,Arqwing
1048,Gigiri
1049,Muthaiga
1050,Peponi
1051,Westland
1052,Kileleshwa
1053,Mkungu
1054,Bomas
1056,Industrial
1057,Mombasa
1059,Mombasa
1060,Riverside
1061,Runda
1062,Kilimani
1063,Runda
1064,Kiambu
1065,Lavington
1066,Kileleshwa
1067,Riverside
1068,Kiambu
1069,Lavington
1070,Upper
1072,Riverside
1073,Lenana
1074,Gigiri
1075,Karen
1077,Nyari
1078,Baba
1079,Kitisuru
1080,Kilimani
1081,Lavington
1082,Runda
1083,Kiambu
1084,Westlands
1085,River
1086,Parklands
1087,Spring
1088,Rhapta
1090,Westlands
1091,Kiambu
1092,Kileleshwa
1093,Mombasa
1094,Karen
1095,Kiambu
1096,Off
1097,Riverside
1098,Facing
1099,Lavington
1100,Mogotio
1101,Runda
1102,Kilimani
1103,Wes
1104,Kilimani
1105,Kiambu
1107,Lavington
1108,Westlands
1109,Spring
1110,Kilimani
1111,Kileleshwa
1112,Kileleshwa
1113,Brookside
1114,Rosslyn
1115,Lavington
1116,North
1117,Nyari
1118,Kilimani
1119,Kileleshwa
1120,Garden
1121,Karen
1122,Kileleshwa
1123,Loresho
1125,Kilimani
1126,Kilimani
1127,Kitisuru
1128,Lavington
1129,Lavington
1130,Kilimani
1131,Kilimani
1132,Spring
1133,Runda
1134,Kiambu
1135,Thigiri
1136,Karuna
1137,Rhapta
1138,Kitisuru
1139,Kitisuru
1141,Kitisuru
1142,Westlands
1143,Gigiri
1144,Kiambu
1145,Kilimani
1146,Riverside
1147,Runda
1148,Rosslyn
1149,Nyari
1150,City
1151,Lavington
1152,Mombasa
1153,Brookside
1154,Runda
1155,Rosslyn
1156,Kiambu
1157,Nyari
1158,Rosslyn
1159,River
1160,Lower
1162,Spring
1163,Riara
1164,Kilimani
1165,Kahawa
1166,General
1167,Gatewaymall
1168,Brookside
1170,Westlands
1171,Kangundo
1172,Nyari
1173,Loresho
1174,Westlands
1175,Westlands
1176,Muthaiga
1177,Near
